pickup_grid,trips,avg_value,lat,lon,cluster
-257_7366,7148,0.21015623251259094,-1.2825,36.8325,6
-258_7365,28851,0.2069600967037538,-1.2875,36.8275,6
-257_7365,18042,0.20470595000554262,-1.2825,36.8275,6
-258_7364,21358,0.1938250538439929,-1.2875,36.8225,6
-258_7366,5143,0.1915989694730702,-1.2875,36.8325,6
-256_7371,300,0.19134083333333335,-1.2775,36.8575,6
-257_7364,64458,0.18114298457910577,-1.2825,36.8225,6
-257_7363,25302,0.17176876333886648,-1.2825,36.8175,6
-258_7367,1841,0.16806966322650732,-1.2875,36.8375,6
-257_7371,15484,0.16430581568070265,-1.2825,36.8575,6
-259_7364,5204,0.13970085511145272,-1.2925,36.8225,6
-259_7363,1753,0.13710681688533943,-1.2925,36.8175,6
-259_7365,1059,0.13110009442870632,-1.2925,36.8275,6
-256_7369,141310,0.13075880157101408,-1.2775,36.847500000000004,6
-258_7363,8283,0.12770309670409272,-1.2875,36.8175,6
-258_7371,6258,0.12691902364972835,-1.2875,36.8575,6
-257_7367,1106,0.1231507685352622,-1.2825,36.8375,6
-255_7368,80699,0.1198675974919144,-1.2725,36.8425,6
-256_7367,5053,0.11881773204037205,-1.2775,36.8375,6
-255_7370,49343,0.11769176985590662,-1.2725,36.8525,6
-256_7368,9965,0.11417885097842448,-1.2775,36.8425,6
-255_7369,159346,0.11313891939552924,-1.2725,36.847500000000004,6
-257_7369,59895,0.11283792052758994,-1.2825,36.847500000000004,6
-260_7363,2464,0.11210866477272727,-1.2975,36.8175,6
-256_7370,131353,0.11188771859036338,-1.2775,36.8525,6
-254_7371,786,0.10940426208651399,-1.2675,36.8575,6
-256_7365,11303,0.10922217552862072,-1.2775,36.8275,6
-260_7362,4996,0.10914676741393113,-1.2975,36.8125,6
-253_7371,137,0.10881386861313869,-1.2625,36.8575,6
-258_7362,2866,0.10767158060013957,-1.2875,36.8125,6
-259_7367,351,0.10723290598290598,-1.2925,36.8375,6
-257_7370,24612,0.10544677393141556,-1.2825,36.8525,6
-258_7368,1478,0.10530649526387009,-1.2875,36.8425,6
-254_7370,7516,0.10523642895156998,-1.2675,36.8525,6
-257_7372,1432,0.10490904329608938,-1.2825,36.862500000000004,6
-254_7369,23248,0.10450929112181694,-1.2675,36.847500000000004,6
-257_7368,4316,0.10446906858202039,-1.2825,36.8425,6
-256_7366,13736,0.10353616409435061,-1.2775,36.8325,6
-255_7365,5877,0.1034769014803471,-1.2725,36.8275,6
-250_7363,439,0.10165489749430524,-1.2475,36.8175,6
-259_7366,289,0.10111072664359862,-1.2925,36.8325,6
-255_7367,11532,0.10103366718695803,-1.2725,36.8375,6
-254_7366,10609,0.09657835328494675,-1.2675,36.8325,6
-260_7366,1270,0.09401988188976378,-1.2975,36.8325,6
-261_7365,5948,0.09381981338264964,-1.3025,36.8275,6
-260_7365,883,0.09348301245753114,-1.2975,36.8275,6
-255_7366,29421,0.09293195336664287,-1.2725,36.8325,6
-252_7369,353,0.09032790368271955,-1.2575,36.847500000000004,6
-258_7369,1193,0.08851257334450964,-1.2875,36.847500000000004,6
-258_7370,46705,0.08799753238411305,-1.2875,36.8525,6
-259_7362,8509,0.08793536255729227,-1.2925,36.8125,6
-254_7368,44188,0.08760828166017924,-1.2675,36.8425,6
-256_7363,4175,0.08738311377245508,-1.2775,36.8175,6
-261_7364,3128,0.08724072890025576,-1.3025,36.8225,6
-260_7367,1788,0.08582885906040268,-1.2975,36.8375,6
-253_7367,23358,0.08544111225276137,-1.2625,36.8375,6
-256_7364,7758,0.08506709203402939,-1.2775,36.8225,6
